ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
UNKNOWN		UNKNOWN	50233041	49619102	2340473	101.539	48945341	1097629	64318	35619	25843	18969	13287	8208	4480	2298	1268	819	765	984	1487	2953	8773	3548224	3013593	2424990	1864985	1349460	932520	596780	382747	236387	158348	
UNKNOWN		UNKNOWN	19877624	19763578	3891809	153.151	19234937	559618	28093	12655	9375	6877	5669	4736	3439	2437	1617	1069	812	563	433	416	378	1381696	1137863	879481	645963	467929	283001	192361	121029	73700	45526	
UNKNOWN		UNKNOWN	22336119	22100978	3649125	195.111	21539581	676969	35752	16111	12083	8823	7355	5514	4688	3531	2464	1924	1443	1186	1072	1052	1040	1589558	1300897	1012094	747497	542363	344166	226317	141798	86251	51771	
UNKNOWN		UNKNOWN	35587768	33948556	1187071	145.035	34663584	701639	56510	41906	35495	27248	18470	11058	5625	2800	1926	2082	2388	3661	8618	4758	0	1565042	2850442	2422860	1974104	1535545	604720	940473	632198	420408	259088	
UNKNOWN		UNKNOWN	42785767	42606839	10067173	141.652	41403774	1199820	61566	27504	20153	15227	12394	9136	7022	5028	3357	2156	1531	1097	986	972	922	2938703	2429500	1885079	1389181	1028364	616192	425722	268105	166612	106138	
UNKNOWN		UNKNOWN	77211440	76765354	4591404	361.603	75100690	1651140	100804	59711	45685	35959	26798	18279	10769	6964	5379	4812	6077	8726	15507	31262	82878	5658191	4875494	3910214	3000841	2212044	1601545	980608	616662	378314	247250	
UNKNOWN		UNKNOWN	39948660	39621960	2276950	247.594	38692012	1030456	61476	30516	21587	16283	12879	9866	7087	5280	3988	3003	2523	2786	3626	6197	20614	2955638	2493560	2006969	1532365	1114330	783667	497979	320832	199385	128147	
UNKNOWN		UNKNOWN	33025841	32752081	1414168	145.777	31982390	909326	45921	19947	14418	11224	9057	6775	5268	3993	3012	2156	1583	1423	1238	1047	1010	2350997	1967121	1546848	1145132	837422	527301	368679	235001	146300	92595	
UNKNOWN		UNKNOWN	26654843	26564256	5472689	164.788	25789089	747986	38247	16471	12494	9659	7942	6468	4729	3242	2346	1512	1208	918	784	762	815	1865003	1528313	1182079	865636	623255	376807	252254	156606	96738	61496	
UNKNOWN		UNKNOWN	42462555	42038767	2344045	168.519	41337967	956100	54428	27984	19653	14701	10099	6364	3706	1947	1171	909	971	1366	2299	4791	18099	2820788	2400646	1917968	1453612	1046598	739916	464741	296232	181357	119898	
UNKNOWN		UNKNOWN	43593590	43298697	1612300	182.506	42424870	949940	62627	37180	27156	20050	13705	10604	6937	4677	3287	2783	2683	2955	3458	5442	15236	3273030	2851268	2323737	1809916	1360169	940944	624926	399559	249394	164601	
UNKNOWN		UNKNOWN	33618198	33312830	1469628	287.694	32468010	951416	50195	22569	17038	13753	11821	9626	8254	7194	5904	5070	4929	4642	4423	4197	4052	2407291	2026237	1602844	1200422	891451	574071	396375	244689	152355	95329	
UNKNOWN		UNKNOWN	40367724	39929016	7442702	180.965	38964470	1204554	61984	27289	20331	14548	12437	9552	8211	6141	4240	3081	2326	1850	1648	1493	1536	2832425	2326872	1815998	1335403	974162	627729	416543	264494	162677	99029	
UNKNOWN		UNKNOWN	37255289	36962180	2536627	430.266	35862067	1008806	60663	29683	24663	20712	19609	17447	15678	14291	11923	10990	10710	9416	9106	8934	8806	2953306	2535432	2034575	1558843	1210098	761809	521097	338795	222934	152698	
UNKNOWN		UNKNOWN	59071560	57502217	21613254	299.395	57270217	1416184	87010	47541	38697	34940	27963	23169	17649	14989	11833	8879	7136	6556	6369	8783	17037	4485437	3941367	3205360	2423368	1729663	1227393	801730	522770	345843	246602	
UNKNOWN		UNKNOWN	46496045	46106842	3304045	121.728	45245260	1045293	66561	36762	26938	19773	14005	8724	5144	2571	1097	755	712	886	1403	3725	16436	3498974	3050744	2510147	1963537	1432281	1030854	650724	422626	260365	180663	
UNKNOWN		UNKNOWN	38082473	37685965	1721773	145.276	36874103	1054198	53082	23235	17274	12829	10320	7942	5997	4685	3361	2428	1917	1564	1302	1174	1038	2694162	2257241	1773247	1318832	962824	600931	425072	276863	177598	114585	
UNKNOWN		UNKNOWN	38261283	37854458	1961709	133.27	37255207	836755	52151	30275	22185	16631	12248	8054	4304	2402	1236	662	618	793	1207	3036	13519	2827660	2453110	2007525	1560331	1143210	801479	512958	332651	205718	137022	
UNKNOWN		UNKNOWN	16566575	16465901	2913928	230.498	15984285	489100	24469	10784	7772	6272	5210	4053	3349	2747	2156	1646	1422	1306	1160	1118	1186	1178312	957774	742895	542446	385354	246735	160391	99948	61092	38339	
UNKNOWN		UNKNOWN	24719647	24378956	3777947	191.272	23877879	712504	36631	16425	12148	8533	7437	5697	4676	3630	2531	1922	1501	1273	1045	1073	1124	1656029	1358410	1052818	770413	567733	357692	250559	161581	102043	63364	
UNKNOWN		UNKNOWN	29179899	28981093	1879429	404.812	28126081	784353	43588	22279	17619	15394	13907	12213	11572	10186	8871	7699	7048	6693	6366	6059	6000	2269170	1928302	1547112	1172876	909486	568300	389930	250781	162467	109492	
UNKNOWN		UNKNOWN	35585874	35300500	6864434	190.72	34381180	1027788	49978	22504	16530	12741	10359	8061	6585	4874	3563	2597	2009	1651	1537	1430	1599	2441970	1990135	1523404	1113083	798086	487800	330578	205862	127567	78644	
UNKNOWN		UNKNOWN	46916079	46445951	3407568	606.14	45474997	1040315	67802	39054	28367	21360	15739	12164	7885	5419	4228	3836	4537	6343	11095	29408	143530	3631584	3187528	2623442	2057168	1513700	1212331	688146	440534	270994	184897	
UNKNOWN		UNKNOWN	29720960	29535210	1797322	350.028	28657222	796062	48135	24035	18703	16001	14408	12234	11333	9803	8383	7499	6972	6210	5713	5511	5244	2301160	1991755	1623088	1255375	1008770	621678	437919	285987	187390	127586	
UNKNOWN		UNKNOWN	25176692	24945375	5073449	172.964	24340403	712216	36751	17515	12961	9446	7624	5849	4524	3373	2432	1821	1276	1117	939	1099	1085	1757624	1454991	1127162	832760	614198	369159	252313	158740	97503	61292	
UNKNOWN		UNKNOWN	26850580	26607001	1774757	286.486	25921067	729371	43030	20546	16126	13229	12582	10686	9157	7699	6102	4978	4459	3848	3250	3097	2992	2136440	1855479	1494240	1131192	870051	550576	389668	260703	170580	114596	
UNKNOWN		UNKNOWN	30625471	30277871	1407594	195.706	29591925	879596	47149	21511	16107	12510	10355	7954	6540	4869	3876	2858	2391	2033	1759	1717	1570	2196985	1857253	1455689	1090219	814993	499520	342423	218452	135869	85942	
UNKNOWN		UNKNOWN	31603162	31440342	3458760	295.298	30369128	981801	60321	28642	21247	15798	14133	12693	10714	8702	6985	5820	5012	4322	3791	3471	3028	2581990	2140210	1720612	1298796	936912	643887	417615	261215	163320	99180	
UNKNOWN		UNKNOWN	39980976	39515707	1880891	232.734	38656821	1112957	58355	26135	19570	15591	13061	10113	8424	7012	5615	4725	4524	4053	3899	3830	3572	2862207	2418157	1911136	1428459	1064691	668473	477590	309683	195354	123070	
UNKNOWN		UNKNOWN	39213364	38910091	1862245	137.467	37945746	1105935	57173	25055	18702	13910	11370	8654	6591	4914	3335	2276	1692	1214	946	812	759	2790095	2359829	1869128	1389291	1012405	628871	434525	274346	167183	104880	
UNKNOWN		UNKNOWN	58575376	58247928	2124483	126.187	57032893	1286469	80199	46546	35100	26778	19659	12729	6893	3418	1681	1037	941	1209	1951	4195	13678	4212165	3635829	2925514	2228669	1610341	1125662	726653	461957	282287	185164	
UNKNOWN		UNKNOWN	27232247	26894567	819099	244.757	26516199	577629	33179	19193	14522	11124	8052	5679	3739	2207	1609	1520	1572	2059	3051	6267	24646	2123640	1863421	1533924	1203144	901741	645277	425188	279550	178578	121580	
UNKNOWN		UNKNOWN	55529424	55425337	3020576	253.678	53928748	1148332	97404	75318	66248	53248	38551	22038	11322	6563	3956	3827	5057	10760	35133	22919	0	2574367	4723770	4057924	3265127	2524997	941442	1388837	841349	546147	322823	
UNKNOWN		UNKNOWN	64411820	63728528	4018572	1545.46	61891000	1279328	116059	82463	69218	54556	38783	24972	32346	36636	46821	59646	69597	115665	319312	175418	0	2965289	5326408	4393936	3442579	3043320	1077190	1548590	863249	527806	313966	
UNKNOWN		UNKNOWN	56621331	56336381	4474566	216.983	54599810	1728538	90196	39929	29090	22758	18866	15229	12496	9649	7212	5252	4263	3721	3006	2884	2697	4015978	3252562	2533487	1858331	1351188	862534	558616	343000	213496	128678	
UNKNOWN		UNKNOWN	20343971	20194760	1923715	474.02	19503364	626947	36703	17171	12176	9152	7952	8306	7540	7016	6262	5968	5259	5331	5020	5126	4508	1537477	1258926	1005109	754898	544983	375682	248118	156433	97391	58156	
UNKNOWN		UNKNOWN	51776324	51518142	9654057	195.682	50048350	1468895	70732	31445	23707	17558	14684	11293	9242	7277	5271	4035	2980	2535	2311	2393	2398	3620289	2919629	2231818	1604098	1145142	693229	456957	280616	171273	106568	
UNKNOWN		UNKNOWN	48334435	47447701	4018182	398.474	46487070	1340259	82993	39405	33146	29199	27307	24445	21308	19307	16073	14753	13408	12442	11955	11341	11099	4070197	3604400	2899485	2221564	1708215	1125858	780773	521018	345766	231386	
UNKNOWN		UNKNOWN	18952053	18733903	3161483	186.711	18332642	521764	25730	11972	9215	6676	5941	4447	3460	2804	2014	1592	1290	1092	1142	1117	1241	1363735	1134049	881418	652394	484431	298063	209573	135394	85388	54488	
UNKNOWN		UNKNOWN	29089283	28893715	5880100	193.608	28102967	825176	40728	19466	14413	10952	9320	7182	5734	4428	3406	2440	2042	2012	1834	1945	2244	2060193	1715280	1358849	1019690	770886	471946	321339	201598	125756	78285	
UNKNOWN		UNKNOWN	49109288	42625730	3379736	98.7095	47531171	1375151	71669	31817	23599	17221	14679	11420	8691	6394	4319	2873	1790	1122	829	587	510	3128848	2633852	2126547	1710489	1506541	1317160	1315708	1221288	1017358	744280	
UNKNOWN		UNKNOWN	26167562	26102956	5285252	155.022	25316909	737025	38466	17138	12900	9335	7533	5819	4414	3261	2071	1399	951	671	653	568	619	1749716	1445266	1111066	816015	598953	354087	241316	151040	92473	59361	
UNKNOWN		UNKNOWN	38828959	38499035	7415464	202.207	37527259	1091856	56252	26675	19573	14671	12770	9811	7646	5780	4058	3107	2599	2339	2147	2346	2508	2774810	2290353	1767561	1296074	950960	563604	379897	237423	144989	89655	
UNKNOWN		UNKNOWN	32738233	32382041	5137869	190.733	31618611	946975	47701	21295	15214	10997	9631	7176	5744	4222	3200	2435	2102	1735	1456	1434	1544	2259020	1827387	1399384	1017234	728509	448906	298545	185017	112933	69449	
UNKNOWN		UNKNOWN	86665246	85325093	4986144	262.276	84112546	1758672	171937	140402	118912	95315	69576	42136	22912	11752	7745	7805	9418	14502	46391	30206	5019	4568630	7203451	6161185	4964429	3852277	1605032	2036368	1276287	805639	485998	
UNKNOWN		UNKNOWN	37391428	37037059	1730815	235.21	36135917	1056660	54523	25117	19183	14830	12547	10240	8066	6732	5344	4347	3888	3654	3391	3360	3315	2668539	2248632	1774537	1334034	991066	618378	431892	282164	178812	114994	
UNKNOWN		UNKNOWN	31079343	30951326	1947980	204.613	30061393	832136	48817	23226	17675	14559	12096	10187	8653	6905	5374	3883	3354	2691	2393	2082	2023	2488076	2147724	1748786	1331509	1036840	643877	456036	298432	195366	132589	
UNKNOWN		UNKNOWN	62266387	61915750	15337085	165.885	60198433	1801654	92477	39629	28513	20896	17168	13202	10274	7553	5168	3704	2398	1845	1409	1114	927	4152291	3358239	2555718	1820227	1284881	790350	522305	318743	197266	123858	
UNKNOWN		UNKNOWN	23723099	22809214	3265235	148.683	22926511	685986	32945	15191	11349	8011	6511	5109	4175	3163	2163	1513	1156	956	865	697	699	1557094	1276579	999361	755641	584922	412157	325071	237615	162235	102040	
UNKNOWN		UNKNOWN	36250272	36007224	2218905	278.289	34966371	1011973	61640	30981	23781	19611	16939	14645	11741	9941	8129	6813	5469	4838	4052	3904	3586	2776433	2382139	1938361	1488680	1173075	727346	509015	332212	214446	140153	
UNKNOWN		UNKNOWN	23345128	23117090	5319207	158.361	22607978	639037	29244	12914	9935	7388	5945	4640	3622	2467	1670	1232	998	804	803	763	982	1581480	1290862	986298	711689	514695	306580	208865	129563	79763	51725	
